index;Country Code;Short Name;Table Name;Long Name;2-alpha code;Currency Unit;Special Notes;Region;Income Group;WB-2 code;National accounts base year;National accounts reference year;SNA price valuation;Lending category;Other groups;System of National Accounts;Alternative conversion factor;PPP survey year;Balance of Payments Manual in use;External debt Reporting status;System of trade;Government Accounting concept;IMF data dissemination standard;Latest population census;Latest household survey;Source of most recent Income and expenditure data;Vital registration complete;Latest agricultural census;Latest industrial data;Latest trade data;Latest water withdrawal data
108;LBR;Liberia;Liberia;Republic of Liberia;LR;Liberian dollar;"April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";LR;2000;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2008;Demographic and Health Survey (DHS), 2013;Core Welfare Indicator Questionnaire Survey (CWIQ), 2007;;2008. Population and Housing Census.;;;2000
109;LBY;Libya;Libya;Socialist People's Libyan Arab Jamahiriya;LY;Libyan dinar;National accounts data are revised from 2010 to 2013 based on IMF and World Bank staff estimates.;Middle East & North Africa;"Upper middle income; based on FY13 income classifications.";LY;1999;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1986;;IMF Balance of Payments Manual, 6th edition.;;General trade system;;General Data Dissemination System (GDDS);2006;Family Health Survey (FHS), 2007;;;2013/2014;;2010;2000
110;LIE;Liechtenstein;Liechtenstein;Principality of Liechtenstein;LI;Swiss franc;;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";LI;1990;;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;;;;Special trade system;;;2010;;;Yes;;;;
111;LTU;Lithuania;Lithuania;Republic of Lithuania;LT;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";LT;2000;;Value added at basic prices (VAB);;Euro area;Country uses the 1993 System of National Accounts methodology.;1990–95;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Expenditure survey/budget survey (ES/BS), 2012;Yes;2010;2011;2013;2007
112;LMY;Low & middle income;Low & middle income;Low & middle income;XO;;Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2014 GNI per capita was $12,735 or less.;;;XO;;;;;;;;;;;;;;;;;;;;;
113;LIC;Low income;Low income;Low income;XM;;Low income group aggregate. Low-income economies are those in which 2014 GNI per capita was $1,045 or less.;;;XM;;;;;;;;;;;;;;;;;;;;;
114;LMC;Lower middle income;Lower middle income;Lower middle income;XN;;Lower middle income group aggregate. Lower-middle-income economies are those in which 2014 GNI per capita was between $1,046 and $4,125.;;;XN;;;;;;;;;;;;;;;;;;;;;
115;LUX;Luxembourg;Luxembourg;Grand Duchy of Luxembourg;LU;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";LU;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;;Yes;2010;2010;2013;1999
116;MAC;Macao SAR, China;Macao SAR, China;Macao Special Administrative Region of the People's Republic of China;MO;Macao pataca;"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.";East Asia & Pacific;"High income: nonOECD; based on FY13 income classifications.";MO;2012;;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2011;;;Yes;;2011;2012;
117;MKD;Macedonia;Macedonia, FYR;Former Yugoslav Republic of Macedonia;MK;Macedonian denar;;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";MK;1995;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2002;Multiple Indicator Cluster Survey (MICS), 2011;Expenditure survey/budget survey (ES/BS), 2010;Yes;2007;2010;2013;2007
118;MDG;Madagascar;Madagascar;Republic of Madagascar;MG;Malagasy ariary;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";MG;1984;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);1993;Malaria Indicator Survey (MIS), 2013;Priority survey (PS), 2010;;;2006;2013;2000
119;MWI;Malawi;Malawi;Republic of Malawi;MW;Malawi kwacha;"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";MW;2009;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;General Data Dissemination System (GDDS);2008;Malaria Indicator Survey (MIS), 2014;Integrated household survey (IHS), 2010/11;;2006/ 2007;2010;2013;2005
120;MYS;Malaysia;Malaysia;Malaysia;MY;Malaysian ringgit;"Based on official government statistics, value added in services in constant and current prices have been revised from 1990 onward. National accounts data in constant prices have been linked back to 1960; the new base year is 2005.";East Asia & Pacific;"Upper middle income; based on FY13 income classifications.";MY;2005;;Value added at producer prices (VAP);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Estimate;General trade system;Budgetary central government;Special Data Dissemination Standard (SDDS);2010;World Health Survey (WHS), 2003;Income survey (IS), 2012;Yes;2015;2010;2013;2005
121;MDV;Maldives;Maldives;Republic of Maldives;MV;Maldivian rufiyaa;"April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.";South Asia;"Upper middle income; based on FY13 income classifications.";MV;2003;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2014;Demographic and Health Survey (DHS), 2009;Integrated household survey (IHS), 2010;Yes;;;2013;2008
122;MLI;Mali;Mali;Republic of Mali;ML;CFA franc;;Sub-Saharan Africa;"Low income; based on FY13 income classifications.";ML;1987;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2009;Demographic and Health Survey (DHS), 2012/13;Integrated household survey (IHS), 2009/10;;;;2012;2006
123;MLT;Malta;Malta;Republic of Malta;MT;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.;Middle East & North Africa;"High income: nonOECD; based on FY13 income classifications.";MT;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;;Yes;2010;2009;2013;2002
124;MHL;Marshall Islands;Marshall Islands;Republic of the Marshall Islands;MH;U.S. dollar;"Fiscal year ends on September 30; reporting period for national accounts data: FY.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";MH;2003/04;;Value added at basic prices (VAB);IDA;;Country uses the 1968 System of National Accounts methodology.;;2011 (household consumption only).;;;General trade system;;General Data Dissemination System (GDDS);2011;Republic of the Marshall Islands Demographic and Health Survey (RMIDHS), 2007;Integrated household survey (IHS), 1999;;2011. Population and Housing Census.;;;
125;MRT;Mauritania;Mauritania;Islamic Republic of Mauritania;MR;Mauritanian ouguiya;Based on official statistics from the Ministry of Economic Affairs and Development.;Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";MR;1998;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;;General Data Dissemination System (GDDS);2013;Multiple Indicator Cluster Survey (MICS), 2011;Integrated household survey (IHS), 2008;;;;2013;2005
126;MUS;Mauritius;Mauritius;Republic of Mauritius;MU;Mauritian rupee;;Sub-Saharan Africa;"Upper middle income; based on FY13 income classifications.";MU;2006;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;;Special Data Dissemination Standard (SDDS);2011;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2012;Yes;2013/ 2014;2011;2013;2003
127;MEX;Mexico;Mexico;United Mexican States;MX;Mexican peso;The new base year is 2008.;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";MX;2008;;Value added at basic prices (VAB);IBRD;;Country uses the 2008 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;National Survey of Demographic Dynamics (ENADID), 2009;Integrated household survey (IHS), 2012;;2007;2010;2013;2011
128;FSM;Micronesia;Micronesia, Fed. Sts.;Federated States of Micronesia;FM;U.S. dollar;"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";FM;2003/04;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;;;;;General Data Dissemination System (GDDS);2010;;Integrated household survey (IHS), 2000;;;;;
129;MNA;Middle East & North Africa (developing only);Middle East & North Africa;Middle East & North Africa (developing only);XQ;;Middle East and North Africa regional aggregate (does not include high-income economies).;;;XQ;;;;;;;;;;;;;;;;;;;;;
130;MIC;Middle income;Middle income;Middle income;XP;;Middle income group aggregate. Middle-income economies are those in which 2014 GNI per capita was between $1,046 and $12,735.;;;XP;;;;;;;;;;;;;;;;;;;;;
131;MDA;Moldova;Moldova;Republic of Moldova;MD;Moldovan leu;;Europe & Central Asia;"Lower middle income; based on FY13 income classifications.";MD;Original chained constant price data are rescaled.;1996;Value added at basic prices (VAB);Blend;;Country uses the 1993 System of National Accounts methodology.;1990–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2014;Multiple Indicator Cluster Survey (MICS), 2012;Expenditure survey/budget survey (ES/BS), 2012;Yes;2011;2011;2013;2007
132;MCO;Monaco;Monaco;Principality of Monaco;MC;Euro;;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";MC;1990;;;;;Country uses the 1993 System of National Accounts methodology.;;;;;Special trade system;;;2008;;;Yes;;;;2009
133;MNG;Mongolia;Mongolia;Mongolia;MN;Mongolian tugrik;;East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";MN;2005;;Value added at basic prices (VAB);Blend;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2013;Living Standards Measurement Study Survey (LSMS), 2012;Yes;2012;2011;2013;2009
134;MNE;Montenegro;Montenegro;Montenegro;ME;Euro;Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";ME;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2013;Expenditure survey/budget survey (ES/BS), 2013;Yes;2010;;2013;2010
135;MAR;Morocco;Morocco;Kingdom of Morocco;MA;Moroccan dirham;;Middle East & North Africa;"Lower middle income; based on FY13 income classifications.";MA;1998;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2014;Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006;Expenditure survey/budget survey (ES/BS), 2007;;2012;2010;2012;2000
136;MOZ;Mozambique;Mozambique;Republic of Mozambique;MZ;New Mozambican metical;"Based on official government statistics; the new base year is 2009.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";MZ;2009;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;1992–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2007;Demographic and Health Survey (DHS), 2011;Expenditure survey/budget survey (ES/BS), 2008/09;;2009/ 2010;;2013;2001
137;MMR;Myanmar;Myanmar;Republic of the Union of Myanmar;MM;Myanmar kyat;"Fiscal year end: March 31; reporting period for national accounts data: FY.";East Asia & Pacific;"Low income; based on FY13 income classifications.";MM;2005/06;;Value added at producer prices (VAP);IDA;;Country uses the 1968 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Estimate;General trade system;Consolidated central government;General Data Dissemination System (GDDS);2014;Multiple Indicator Cluster Survey (MICS), 2009/10;;;2010;;2010;2000
138;NAM;Namibia;Namibia;Republic of Namibia;;Namibian dollar;"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 1980 onward; the new base year is 2010.";Sub-Saharan Africa;"Upper middle income; based on FY13 income classifications.";;2010;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Demographic and Health Survey (DHS), 2013;Expenditure survey/budget survey (ES/BS), 2009/10;;2014;;2013;2002
139;NPL;Nepal;Nepal;Nepal;NP;Nepalese rupee;"Fiscal year end: July 14; reporting period for national accounts data: FY.";South Asia;"Low income; based on FY13 income classifications.";NP;2000/01;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Multiple Indicator Cluster Survey (MICS), 2014;Living Standards Measurement Study Survey (LSMS), 2010/11;;2011/ 2012;2008;2013;2006
140;NLD;Netherlands;Netherlands;Kingdom of the Netherlands;NL;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";NL;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Integrated household survey (IHS), 2010;Yes;2010;2010;2013;2008
141;NCL;New Caledonia;New Caledonia;New Caledonia;NC;CFP franc;;East Asia & Pacific;"High income: nonOECD; based on FY13 income classifications.";NC;1990;;;;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;;;Special trade system;;;2009;;;Yes;;;2012;
142;NZL;New Zealand;New Zealand;New Zealand;NZ;New Zealand dollar;"Fiscal year end: March 31; reporting period for national accounts data: FY.";East Asia & Pacific;"High income: OECD; based on FY13 income classifications.";NZ;2005/06;;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;;2013;;;Yes;2012;2010;2013;2002
143;NIC;Nicaragua;Nicaragua;Republic of Nicaragua;NI;Nicaraguan gold cordoba;"April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.";Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";NI;2006;;Value added at basic prices (VAB);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;1965–95;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2005;Reproductive Health Survey (RHS), 2006/2007;Living Standards Measurement Study Survey (LSMS), 2009;;2011;;2013;2011
144;NER;Niger;Niger;Republic of Niger;NE;CFA franc;"Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";NE;2006;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;1993;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2012;Demographic and Health Survey (DHS), 2012;Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011;;2004-2008;2002;2013;2005
145;NGA;Nigeria;Nigeria;Federal Republic of Nigeria;NG;Nigerian naira;"Based on official government statistics released 6 April, 2014, national accounts data have been revised from 2010 onward; the new base year is 2010. The new GDP data are 60 to 75 percent higher than previously reported and incorporate improved data sources and methodology. Nigeria reports using SNA 2008.";Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";NG;2010;;Value added at basic prices (VAB);Blend;;Country uses the 2008 System of National Accounts methodology.;1971–98;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2006;Demographic and Health Survey (DHS), 2013;Integrated household survey (IHS), 2009/10;;2013;;2013;2005
146;NOR;Norway;Norway;Kingdom of Norway;NO;Norwegian krone;;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";NO;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Income survey (IS), 2010;Yes;2010;2010;2013;2006
147;OMN;Oman;Oman;Sultanate of Oman;OM;Rial Omani;"Based on official government statistics; the new base year is 2010.";Middle East & North Africa;"High income: nonOECD; based on FY13 income classifications.";OM;2010;;Value added at producer prices (VAP);;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2014;;;2012/ 2013;2010;2013;2003
148;PAK;Pakistan;Pakistan;Islamic Republic of Pakistan;PK;Pakistani rupee;"Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.";South Asia;"Lower middle income; based on FY13 income classifications.";PK;2005/06;;Value added at basic prices (VAB);Blend;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);1998;Demographic and Health Survey (DHS), 2012/13;Integrated household survey (IHS), 2010/11;;2010;2006;2013;2008
149;PLW;Palau;Palau;Republic of Palau;PW;U.S. dollar;"Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.";East Asia & Pacific;"Upper middle income; based on FY13 income classifications.";PW;2004/05;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;;;Special trade system;;General Data Dissemination System (GDDS);2010;;;Yes;;;2012;
150;PAN;Panama;Panama;Republic of Panama;PA;Panamanian balboa;The new base year is 2007.;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";PA;2007;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2013;Integrated household survey (IHS), 2012;;2011;2001;2013;2010
151;PNG;Papua New Guinea;Papua New Guinea;The Independent State of Papua New Guinea;PG;Papua New Guinea kina;;East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";PG;1998;;Value added at basic prices (VAB);Blend;;Country uses the 1993 System of National Accounts methodology.;1989;2011 (household consumption only).;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Living Standards Measurement Study Survey (LSMS), 1996;Integrated household survey (IHS), 2009/10;;;2001;2012;2005
152;PRY;Paraguay;Paraguay;Republic of Paraguay;PY;Paraguayan guarani;"National accounts data have been revised from 1960 onward. The methodology and base year have not changed but the output of two hydroelectric plants (shared with neighboring countries) has been added raising GDP from previous estimates. On the supply side, it was added in ""gas, electricity and water."" On the demand side changes were mainly to exports, but also for imports, investment and consumption. National accounts price valuations for 1991 to 2012 have also been corrected and changed from VAP to VAB.";Latin America & Caribbean;"Lower middle income; based on FY13 income classifications.";PY;1994;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;General Data Dissemination System (GDDS);2012;Reproductive Health Survey (RHS), 2008;Integrated household survey (IHS), 2013;;2008;2002;2013;2012
153;PER;Peru;Peru;Republic of Peru;PE;Peruvian new sol;The new base year is 2007.;Latin America & Caribbean;"Upper middle income; based on FY13 income classifications.";PE;2007;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1985–90;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2007;Continuous Demographic and Health Survey (DHS), 2013;Integrated household survey (IHS), 2013;;2012;2011;2013;2008
154;PHL;Philippines;Philippines;Republic of the Philippines;PH;Philippine peso;Source for GNI and net income from abroad is changed to national statistical office from central bank. April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.;East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";PH;2000;;Value added at producer prices (VAP);IBRD;;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;Special Data Dissemination Standard (SDDS);2010;Demographic and Health Survey (DHS), 2013;Expenditure survey/budget survey (ES/BS), 2012;Yes;2012;2008;2013;2009
155;POL;Poland;Poland;Republic of Poland;PL;Polish zloty;;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";PL;Original chained constant price data are rescaled.;2005;Value added at basic prices (VAB);IBRD;;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;Expenditure survey/budget survey (ES/BS), 2012;Yes;2010;2011;2013;2009
156;PRT;Portugal;Portugal;Portuguese Republic;PT;Euro;A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.;Europe & Central Asia;"High income: OECD; based on FY13 income classifications.";PT;2005;;Value added at basic prices (VAB);;Euro area;Country uses the 2008 System of National Accounts methodology.;;Rolling;IMF Balance of Payments Manual, 6th edition.;;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;;;Yes;2009;2010;2013;2002
157;QAT;Qatar;Qatar;State of Qatar;QA;Qatari riyal;;Middle East & North Africa;"High income: nonOECD; based on FY13 income classifications.";QA;2001;;Value added at producer prices (VAP);;;Country uses the 1993 System of National Accounts methodology.;;2011;;;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2010;Multiple Indicator Cluster Survey (MICS), 2012;;Yes;;2010;2013;2005
158;ROM;Romania;Romania;Romania;RO;New Romanian leu;"National accounts have been revised based on data from the National Statistical Institute; the new base year is 2000.";Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";RO;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1987–89, 1992;Rolling;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2011;Reproductive Health Survey (RHS), 2004;Expenditure survey/budget survey (ES/BS), 2012;Yes;2010;2011;2013;2009
159;RUS;Russia;Russian Federation;Russian Federation;RU;Russian ruble;;Europe & Central Asia;"Upper middle income; based on FY13 income classifications.";RU;2000;;Value added at basic prices (VAB);IBRD;;Country uses the 1993 System of National Accounts methodology.;1987–95;2011;IMF Balance of Payments Manual, 6th edition.;;General trade system;Consolidated central government;Special Data Dissemination Standard (SDDS);2010;World Health Survey (WHS), 2003;Integrated household survey (IHS), 2013;Yes;2014;2011;2013;2001
160;RWA;Rwanda;Rwanda;Republic of Rwanda;RW;Rwandan franc;"Based on official government statistics, national accounts data are revised for 2006 onward; the new base year is 2011. Rwanda reports using SNA 2008.";Sub-Saharan Africa;"Low income; based on FY13 income classifications.";RW;2011;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 2008 System of National Accounts methodology.;1994;2011;IMF Balance of Payments Manual, 6th edition.;Actual;General trade system;Budgetary central government;General Data Dissemination System (GDDS);2012;Malaria Indicator Survey (MIS), 2013;Integrated household survey (IHS), 2010/11;;2008;;2013;2000
161;WSM;Samoa;Samoa;Samoa;WS;Samoan tala;"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The new base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.";East Asia & Pacific;"Lower middle income; based on FY13 income classifications.";WS;2008/09;;Value added at basic prices (VAB);IDA;;Country uses the 1993 System of National Accounts methodology.;;2011 (household consumption only).;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2011;Demographic and Health Survey (DHS), 2009;;;2009;;2013;
162;SMR;San Marino;San Marino;Republic of San Marino;SM;Euro;;Europe & Central Asia;"High income: nonOECD; based on FY13 income classifications.";SM;1995;2000;Value added at basic prices (VAB);;;Country uses the 1993 System of National Accounts methodology.;;;;;;Consolidated central government;General Data Dissemination System (GDDS);2010;;;Yes;;;;
163;STP;São Tomé and Principe;São Tomé and Principe;Democratic Republic of São Tomé and Principe;ST;São Tomé and Principe dobra;"Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.";Sub-Saharan Africa;"Lower middle income; based on FY13 income classifications.";ST;2000;;Value added at producer prices (VAP);IDA;HIPC;Country uses the 1993 System of National Accounts methodology.;;2011;IMF Balance of Payments Manual, 6th edition.;Actual;Special trade system;Budgetary central government;General Data Dissemination System (GDDS);2012;Multiple Indicator Cluster Survey (MICS), 2014;Priority survey (PS), 2010;;2011/12;;2013;1993
